level,attackSpeed,criticalDamage,criticalHitRate,dashDistance,defense,maxExperiencePoints,maxHealth,runSpeed,specialAttack,specialDefense,strength,walkSpeed
0,1,1.1,5,20,5,25,30,10,5,5,5,5
1,1,1.1,5,20,6,50,35,10,6,6,7,5
2,1,1.1,5,20,7,75,40,10,7,7,9,5
3,1,1.1,5,20,8,100,45,10,8,8,11,5
4,1,1.1,5,20,9,200,50,10,9,9,13,5
5,0.95,1.2,5,20,10,400,55,10,10,10,15,5
6,0.95,1.2,5,20,11,600,60,10,11,11,17,5
7,0.95,1.2,5,20,12,800,65,10,12,12,19,5
8,0.95,1.2,5,20,13,1000,70,10,13,13,21,5
9,0.95,1.2,5,20,14,1200,75,10,14,14,23,5
10,0.9,1.3,5.5,20,15,1400,80,10,15,15,25,5
11,0.9,1.3,5.5,20,16,1600,85,10,16,16,27,5
12,0.9,1.3,5.5,20,17,1800,90,10,17,17,29,5
13,0.9,1.3,5.5,20,18,2000,95,10,18,18,31,5
14,0.9,1.3,5.5,20,19,2200,100,10,19,19,33,5
15,0.85,1.4,5.5,20,20,2400,105,10,20,20,35,5
16,0.85,1.4,5.5,20,21,2600,110,10,21,21,37,5
17,0.85,1.4,5.5,20,22,2800,115,10,22,22,39,5
18,0.85,1.4,5.5,20,23,3000,120,10,23,23,41,5
19,0.85,1.4,5.5,20,24,3200,125,10,24,24,43,5
20,0.8,1.5,6,20,25,3400,130,10,25,25,45,5
21,0.8,1.5,6,20,26,3600,135,10,26,26,47,5
22,0.8,1.5,6,20,27,3800,140,10,27,27,49,5
23,0.8,1.5,6,20,28,4000,145,10,28,28,51,5
24,0.8,1.5,6,20,29,4200,150,10,29,29,53,5
25,0.75,1.6,6,20,30,4400,155,10,30,30,55,5
26,0.75,1.6,6,20,31,4600,160,10,31,31,57,5
27,0.75,1.6,6,20,32,4800,165,10,32,32,59,5
28,0.75,1.6,6,20,33,5000,170,10,33,33,61,5
29,0.75,1.6,6,20,34,5200,175,10,34,34,63,5
30,0.7,1.7,6.5,20,35,5400,180,10,35,35,65,5
