level,attackSpeed,criticalDamage,criticalHitRate,dashDistance,defense,maxExperiencePoints,maxHealth,runSpeed,specialAttack,specialDefense,strength,walkSpeed
0,1,1.1,10,20,15,25,120,10,15,15,15,2.5
1,1,1.1,10,20,20,50,140,10,20,20,20,2.5
2,1,1.1,10,20,25,75,160,10,25,25,25,2.5
3,1,1.1,10,20,30,100,180,10,30,30,30,2.5
4,1,1.1,10,20,35,200,200,10,35,35,35,2.5
5,0.95,1.2,10,20,40,400,220,10,40,40,40,2.5
6,0.95,1.2,10,20,45,600,240,10,45,45,45,2.5
7,0.95,1.2,10,20,50,800,260,10,50,50,50,2.5
8,0.95,1.2,10,20,55,1000,280,10,55,55,55,2.5
9,0.95,1.2,10,20,60,1200,300,10,60,60,60,2.5
10,0.9,1.3,15,20,65,1400,320,10,65,65,65,2.5
11,0.9,1.3,15,20,70,1600,340,10,70,70,70,2.5
12,0.9,1.3,15,20,75,1800,360,10,75,75,75,2.5
13,0.9,1.3,15,20,80,2000,380,10,80,80,80,2.5
14,0.9,1.3,15,20,85,2200,400,10,85,85,85,2.5
15,0.85,1.4,15,20,90,2400,420,10,90,90,90,2.5
16,0.85,1.4,15,20,95,2600,440,10,95,95,95,2.5
17,0.85,1.4,15,20,100,2800,460,10,100,100,100,2.5
18,0.85,1.4,15,20,105,3000,480,10,105,105,105,2.5
19,0.85,1.4,15,20,110,3200,500,10,110,110,110,2.5
20,0.8,1.5,20,20,115,3400,520,10,115,115,115,2.5
21,0.8,1.5,20,20,120,3600,540,10,120,120,120,2.5
22,0.8,1.5,20,20,125,3800,560,10,125,125,125,2.5
23,0.8,1.5,20,20,130,4000,580,10,130,130,130,2.5
24,0.8,1.5,20,20,135,4200,600,10,135,135,135,2.5
25,0.75,1.6,20,20,140,4400,620,10,140,140,140,2.5
26,0.75,1.6,20,20,145,4600,640,10,145,145,145,2.5
27,0.75,1.6,20,20,150,4800,660,10,150,150,150,2.5
28,0.75,1.6,20,20,155,5000,680,10,155,155,155,2.5
29,0.75,1.6,20,20,160,5200,700,10,160,160,160,2.5
30,0.7,1.7,25,20,175,5400,720,10,175,175,175,2.5
