level,attackSpeed,criticalDamage,criticalHitRate,dashDistance,defense,maxExperiencePoints,maxHealth,runSpeed,specialAttack,specialDefense,strength,walkSpeed
0,1,1.1,5,20,5,25,50,10,5,5,5,5
1,1,1.1,5,20,7,50,55,10,6,6,7,5
2,1,1.1,5,20,9,75,60,10,7,7,9,5
3,1,1.1,5,20,11,100,65,10,8,8,11,5
4,1,1.1,5,20,13,200,70,10,9,9,13,5
5,0.95,1.2,5,20,15,400,75,10,10,10,15,5
6,0.95,1.2,5,20,17,600,80,10,11,11,17,5
7,0.95,1.2,5,20,19,800,85,10,12,12,19,5
8,0.95,1.2,5,20,21,1000,90,10,13,13,21,5
9,0.95,1.2,5,20,23,1200,95,10,14,14,23,5
10,0.9,1.3,5.5,20,25,1400,100,10,15,15,25,5
11,0.9,1.3,5.5,20,27,1600,105,10,16,16,27,5
12,0.9,1.3,5.5,20,29,1800,110,10,17,17,29,5
13,0.9,1.3,5.5,20,31,2000,115,10,18,18,31,5
14,0.9,1.3,5.5,20,33,2200,120,10,19,19,33,5
15,0.85,1.4,5.5,20,35,2400,125,10,20,20,35,5
16,0.85,1.4,5.5,20,37,2600,130,10,21,21,37,5
17,0.85,1.4,5.5,20,39,2800,135,10,22,22,39,5
18,0.85,1.4,5.5,20,41,3000,140,10,23,23,41,5
19,0.85,1.4,5.5,20,43,3200,145,10,24,24,43,5
20,0.8,1.5,6,20,45,3400,150,10,25,25,45,5
21,0.8,1.5,6,20,47,3600,155,10,26,26,47,5
22,0.8,1.5,6,20,49,3800,160,10,27,27,49,5
23,0.8,1.5,6,20,51,4000,175,10,28,28,51,5
24,0.8,1.5,6,20,53,4200,180,10,29,29,53,5
25,0.75,1.6,6,20,55,4400,185,10,30,30,55,5
26,0.75,1.6,6,20,57,4600,190,10,31,31,57,5
27,0.75,1.6,6,20,59,4800,195,10,32,32,59,5
28,0.75,1.6,6,20,61,5000,200,10,33,33,61,5
29,0.75,1.6,6,20,63,5200,205,10,34,34,63,5
30,0.7,1.7,6.5,20,65,5400,210,10,35,35,65,5
